CustomerID,CommissionID,Type,Date,Period,PeriodNumber,Year,Amount,Currency,ProcessedDate,PayoutDate
CUST-001001,SalesCommission#MONTH#2025#3,SalesCommission,3/1/2025 0:00,MONTH,3,2025,,USD,3/1/2025 1:06,
CUST-001001,SalesCommission#MONTH#2024#1,SalesCommission,1/1/2024 0:00,MONTH,1,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#2,SalesCommission,2/1/2024 0:00,MONTH,2,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#3,SalesCommission,3/1/2024 0:00,MONTH,3,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#4,SalesCommission,4/1/2024 0:00,MONTH,4,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#5,SalesCommission,5/1/2024 0:00,MONTH,5,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#6,SalesCommission,6/1/2024 0:00,MONTH,6,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#7,SalesCommission,7/1/2024 0:00,MONTH,7,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#8,SalesCommission,8/1/2024 0:00,MONTH,8,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#9,SalesCommission,9/1/2024 0:00,MONTH,9,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#11,SalesCommission,11/1/2024 0:00,MONTH,11,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2024#12,SalesCommission,12/1/2024 0:00,MONTH,12,2024,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2025#1,SalesCommission,1/1/2025 0:00,MONTH,1,2025,,USD,2/3/2025 4:09,
CUST-001001,SalesCommission#MONTH#2025#2,SalesCommission,2/1/2025 0:00,MONTH,2,2025,,USD,2/3/2025 4:09,
CUST-001002,SalesCommission#MONTH#2024#8,SalesCommission,8/1/2024 0:00,MONTH,8,2024,,EUR,2/3/2025 4:09,
CUST-001003,SalesCommission#MONTH#2025#3,SalesCommission,3/1/2025 0:00,MONTH,3,2025,,GBP,3/1/2025 1:06,
CUST-001003,SalesCommission#MONTH#2025#2,SalesCommission,2/1/2025 0:00,MONTH,2,2025,,USD,2/23/2025 1:05:21 AM,
CUST-001004,SalesCommission#MONTH#2024#1,SalesCommission,1/1/2024 0:00,MONTH,1,2024,156.90,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#2,SalesCommission,2/1/2024 0:00,MONTH,2,2024,278.45,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#3,SalesCommission,3/1/2024 0:00,MONTH,3,2024,412.60,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#4,SalesCommission,4/1/2024 0:00,MONTH,4,2024,189.30,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#5,SalesCommission,5/1/2024 0:00,MONTH,5,2024,298.75,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#6,SalesCommission,6/1/2024 0:00,MONTH,6,2024,167.25,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#7,SalesCommission,7/1/2024 0:00,MONTH,7,2024,345.80,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#8,SalesCommission,8/1/2024 0:00,MONTH,8,2024,198.40,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#9,SalesCommission,9/1/2024 0:00,MONTH,9,2024,223.15,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#10,SalesCommission,10/1/2024 0:00,MONTH,10,2024,145.65,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#11,SalesCommission,11/1/2024 0:00,MONTH,11,2024,278.90,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2024#12,SalesCommission,12/1/2024 0:00,MONTH,12,2024,189.55,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2025#1,SalesCommission,1/1/2025 0:00,MONTH,1,2025,234.70,EUR,1/27/2025 5:12:02 AM,
CUST-001004,SalesCommission#MONTH#2025#2,SalesCommission,2/1/2025 0:00,MONTH,2,2025,312.45,EUR,2/5/2025 1:08,2/25/2025 2:07:13 AM
CUST-001004,SalesCommission#MONTH#2025#3,SalesCommission,3/1/2025 0:00,MONTH,3,2025,64.20,EUR,3/2/2025 0:06,
CUST-001005,SalesCommission#MONTH#2025#3,SalesCommission,3/1/2025 0:00,MONTH,3,2025,,GBP,3/1/2025 1:06,
CUST-001005,SalesCommission#MONTH#2024#1,SalesCommission,1/1/2024 0:00,MONTH,1,2024,,GBP,2/3/2025 4:09,
CUST-001005,SalesCommission#MONTH#2024#1,SalesCommission,1/1/2024 0:00,MONTH,1,2024,,USD,2/3/2025 4:09,
CUST-001005,SalesCommission#MONTH#2024#2,SalesCommission,2/1/2024 0:00,MONTH,2,2024,,GBP,2/3/2025 4:09,
CUST-001005,SalesCommission#MONTH#2024#3,SalesCommission,3/1/2024 0:00,MONTH,3,2024,,GBP,2/3/2025 4:09,
CUST-001005,SalesCommission#MONTH#2024#4,SalesCommission,4/1/2024 0:00,MONTH,4,2024,,GBP,2/3/2025 4:09,
